key,tag,requiresSelfTransfer,cost,description,key:manager,isDraftMode

# FLIGHTS DE MANAGER 1
flight-01,VYB100,true,EUR 400.00,This is a published flight,manager-01,false
flight-02,VYB101,false,EUR 100.00,This is a draft flight with legs,manager-01,true
flight-03,VYB102,false,EUR 0.00,This is a free draft flight with no legs,manager-01,true

# TAG VARIATIONS (solo cambia el tag)
flight-04,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOpqrstuvwx,false,EUR 50.00,Tag variation test,manager-01,true
flight-05,<script>alert(1)</script>,false,EUR 50.00,Tag variation test,manager-01,true
flight-06,查询航班,false,EUR 50.00,Tag variation test,manager-01,true
flight-07,полёт-с-крыльями,false,EUR 50.00,Tag variation test,manager-01,true
flight-08,飛行機予約,false,EUR 50.00,Tag variation test,manager-01,true
flight-09,SELECT * FROM flights,false,EUR 50.00,Tag variation test,manager-01,true
flight-10,DROP DATABASE flightDB;,false,EUR 50.00,Tag variation test,manager-01,true
flight-11,D,false,EUR 50.00,Tag variation test,manager-01,true

# COST VARIATIONS (solo cambia el cost)
flight-12,COST-TEST-01,false,EUR 0.00,Cost variation test,manager-01,true
flight-13,COST-TEST-01,false,EUR 0.01,Cost variation test,manager-01,true
flight-14,COST-TEST-01,false,EUR 500.00,Cost variation test,manager-01,true
flight-15,COST-TEST-01,false,EUR 999999.99,Cost variation test,manager-01,true
flight-16,COST-TEST-01,false,EUR 1000000.00,Cost variation test,manager-01,true

# DESCRIPTION VARIATIONS (solo cambia el description)
flight-17,DESC-TEST-01,false,EUR 100.00,,manager-01,true
flight-18,DESC-TEST-01,false,EUR 100.00,S,manager-01,true
flight-19,DESC-TEST-01,false,EUR 100.00,null,manager-01,true
flight-20,DESC-TEST-01,false,EUR 100.00,<img src=x onerror=alert("Hacked!")>,manager-01,true
flight-21,DESC-TEST-01,false,EUR 100.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam. Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",manager-01,true
flight-22,DESC-TEST-01,false,EUR 100.00,这是一个中文描述示例,manager-01,true
flight-23,DESC-TEST-01,false,EUR 100.00,هذا وصف باللغة العربية,manager-01,true
flight-24,DESC-TEST-01,false,EUR 100.00,Это описание на русском языке,manager-01,true
flight-25,DESC-TEST-01,false,EUR 100.00,תיאור בעברית של טיסה,manager-01,true
flight-26,DESC-TEST-01,false,EUR 100.00,これは日本語の説明です,manager-01,true

# FLIGHTS DE MANAGER 2
flight-27,AEX100,true,EUR 400.00,This is a published flight,manager-02,false
flight-28,AEX101,false,EUR 0.00,This is a draft flight with legs,manager-02,true
flight-29,AEX102,false,EUR 0.00,This is a free draft flight with no legs,manager-02,true

