key,name,pictureLink,averageDwellTime,promotionCode,discount
service-1,Web Dev 2025,https://i.imgur.com/Jf5DP7B.jpeg,45.50,WEBX-25,199.99 EUR
service-2,AI Solutions,https://images.unsplash.com/photo-1677442135136-760c81364b88,92.75,AIXX-25,750.00 USD
service-3,Cloud Hosting,https://i.imgur.com/7QkIhRl.png,30.25,CLDY-25,300.00 EUR
service-4,Cybersecurity,https://i.imgur.com/3GJmQ9h.jpg,40.50,CYBR-25,450.00 EUR
service-5,SEO 2025,https://i.imgur.com/zXqRr6B.png,55.30,SEOX-25,120.00 USD
service-6,Data Analytics,https://live.staticflickr.com/65535/53601898574_9e6a4a7d9a_h.jpg,70.80,DATA-25,180.50 JPY
service-7,Mobile Apps,https://live.staticflickr.com/65535/53601673203_4a1a8d7dfa_b.jpg,85.25,MOBX-25,299.50 EUR
service-8,UX/UI Design,https://images.unsplash.com/photo-1547658719-da2b51169166,55.55,UXUI-25,65.00 USD
service-9,Blockchain,https://live.staticflickr.com/65535/53601587655_7a9a4f3a9a_k.jpg,95.50,BLOC-25,999.99 GBP
service-10,IT Support,https://i.imgur.com/4t6mWbT.jpg,10.00,SUPP-25,49.99 EUR
service-11,Social Media,https://i.imgur.com/V2RhdQr.png,45.60,SOCM-25,150.00 USD
service-12,Video Editing,https://i.imgur.com/3JmZ4fQ.jpg,60.50,VIDE-25,350.00 EUR
service-13,ERP Systems,https://images.unsplash.com/photo-1551288049-bebda4e38f71,50.00,ERPS-25,800.00 GBP
service-14,DevOps 2025,https://i.imgur.com/5WXJQ7c.jpg,88.40,DEVO-25,420.50 USD
service-15,AR/VR Tech,https://live.staticflickr.com/65535/53601898589_5e5d5f5b9a_h.jpg,75.75,ARVR-25,550.00 EUR
service-16,Content Marketing,https://images.unsplash.com/photo-1467232004584-a241de8bcf5d,30.20,CONT-25,75.00 JPY
service-17,E-commerce,https://i.imgur.com/Np5R7lT.jpg,65.90,SHOP-25,250.00 USD
service-18,API Development,https://images.unsplash.com/photo-1558494949-ef010cbdcc31,82.00,APID-25,300.00 GBP
service-19,Branding 2025,https://i.imgur.com/Lp3pQ9x.png,48.80,BRND-25,175.50 EUR
service-20,Legal Tech,https://i.imgur.com/YQ8K5rE.jpg,60.00,LEGL-25,0.00 USD
service-21,Beti prime,https://www.realbetisbalompie.es/media/img/graphics/new_logos/logo_horizontal.svg,10.0,BETI-25,25.00 EUR
