key,flightNumber,departure,arrival,status,key:departureAirport,key:arrivalAirport,key:flight,key:aircraft,isDraftMode
leg-01,IBV0000,2025/03/15 06:30,2025/03/15 09:15,ON_TIME,airport-01,airport-02,flight-01,aircraft-01,true
leg-02,VYB0001,2024/11/22 14:20,2024/11/22 17:45,DELAYED,airport-02,airport-01,flight-02,aircraft-02,false
leg-03,AEX0002,2023/08/05 21:10,2023/08/06 00:30,CANCELLED,airport-01,airport-03,flight-02,aircraft-03,false
leg-04,LNA0003,2025/06/30 08:45,2025/06/30 12:00,ON_TIME,airport-03,airport-04,flight-01,aircraft-04,true
leg-05,IBV0004,2024/02/14 11:15,2024/02/14 14:30,LANDED,airport-04,airport-01,flight-01,aircraft-01,false
leg-06,VYB0005,2025/09/18 19:30,2025/09/18 22:45,ON_TIME,airport-02,airport-01,flight-02,aircraft-02,false
leg-07,AEX0006,2023/12/24 05:20,2023/12/24 08:40,LANDED,airport-03,airport-02,flight-01,aircraft-03,false
leg-08,LNA0007,2025/04/01 16:10,2025/04/01 19:25,CANCELLED,airport-01,airport-02,flight-01,aircraft-04,true
leg-09,IBV0008,2024/07/07 13:45,2024/07/07 17:00,LANDED,airport-01,airport-03,flight-02,aircraft-01,false
leg-10,VYB0009,2025/10/31 23:15,2025/11/01 02:30,ON_TIME,airport-01,airport-03,flight-01,aircraft-02,true
leg-11,VYB0010,2025/10/31 23:15,2025/11/01 02:30,ON_TIME,airport-01,airport-03,flight-01,aircraft-02,true
leg-12,IBV0011,2025/04/10 08:00,2025/04/10 10:30,ON_TIME,airport-01,airport-02,flight-01,aircraft-01,true
leg-13,VYB0012,2025/05/05 12:00,2025/05/05 15:30,DELAYED,airport-02,airport-03,flight-02,aircraft-02,false
leg-14,AEX0013,2025/06/01 16:45,2025/06/01 19:15,CANCELLED,airport-03,airport-01,flight-02,aircraft-03,false
leg-15,LNA0014,2025/06/10 14:00,2025/06/10 17:30,ON_TIME,airport-04,airport-01,flight-01,aircraft-04,true
leg-16,IBV0015,2025/07/20 09:30,2025/07/20 12:00,ON_TIME,airport-02,airport-03,flight-02,aircraft-01,false
leg-17,VYB0016,2025/08/15 20:30,2025/08/15 23:45,DELAYED,airport-03,airport-01,flight-01,aircraft-02,true
leg-18,AEX0017,2025/09/02 05:45,2025/09/02 08:15,ON_TIME,airport-01,airport-02,flight-02,aircraft-03,false
leg-19,LNA0018,2025/09/30 18:00,2025/09/30 21:30,LANDED,airport-02,airport-04,flight-01,aircraft-04,true
leg-20,IBV0019,2025/10/25 12:15,2025/10/25 14:45,ON_TIME,airport-03,airport-01,flight-02,aircraft-01,false
leg-21,VYB0020,2025/11/10 16:30,2025/11/10 19:00,CANCELLED,airport-01,airport-02,flight-01,aircraft-02,false
leg-22,AEX0021,2025/11/15 11:00,2025/11/15 13:30,ON_TIME,airport-02,airport-03,flight-02,aircraft-03,false
leg-23,LNA0022,2025/12/05 06:30,2025/12/05 09:00,LANDED,airport-03,airport-01,flight-01,aircraft-04,false
leg-24,IBV0023,2025/12/10 14:00,2025/12/10 16:30,DELAYED,airport-01,airport-02,flight-01,aircraft-01,true
leg-25,VYB0024,2025/12/20 17:45,2025/12/20 21:00,ON_TIME,airport-02,airport-03,flight-02,aircraft-02,false
leg-26,AEX0025,2025/12/22 07:30,2025/12/22 10:00,CANCELLED,airport-01,airport-04,flight-01,aircraft-03,false
leg-27,LNA0026,2025/12/25 20:00,2025/12/25 22:30,ON_TIME,airport-02,airport-01,flight-02,aircraft-04,false
leg-28,LNA0027,2025/12/25 21:00,2025/12/25 21:30,ON_TIME,airport-02,airport-01,flight-02,aircraft-04,false
