key,flightNumber,departure,arrival,status,key:departureAirport,key:arrivalAirport,key:flight,key:aircraft,isDraftMode

# LEGS OF MANAGER 1

# published legs of flight 1
leg-01,VYB0000,2000/01/01 06:00,2000/01/01 08:00,ON_TIME,airport-01,airport-02,flight-01,aircraft-01,false
leg-02,VYB0001,2000/01/01 10:00,2000/01/01 11:00,ON_TIME,airport-02,airport-03,flight-01,aircraft-02,false
leg-03,VYB0002,2000/01/01 12:00,2000/01/01 13:00,ON_TIME,airport-03,airport-04,flight-01,aircraft-03,false
leg-04,VYB0003,2000/01/01 17:00,2000/01/01 20:00,ON_TIME,airport-04,airport-05,flight-01,aircraft-04,false

# some published and unpublished legs of flight 2
leg-05,VYB0004,2027/01/01 06:00,2027/01/01 08:00,DELAYED,airport-01,airport-02,flight-02,aircraft-01,true
leg-06,VYB0005,2027/01/01 10:00,2027/01/01 11:00,CANCELLED,airport-02,airport-03,flight-02,aircraft-02,true
leg-07,VYB0006,2027/01/01 12:00,2027/01/01 13:00,ON_TIME,airport-03,airport-04,flight-02,aircraft-03,false

# leg variations for other flights
leg-08,VYB0007,2200/01/01 06:00,2200/01/01 08:00,ON_TIME,airport-10,airport-02,flight-08,aircraft-08,true
leg-09,VYB0008,2013/10/10 06:00,2013/10/10 08:00,DELAYED,airport-09,airport-02,flight-09,aircraft-09,true
leg-10,VYB0009,2100/01/01 22:00,2100/01/01 23:00,CANCELLED,airport-08,airport-02,flight-10,aircraft-10,true
leg-11,VYB0010,2034/01/01 00:00,2034/01/01 01:00,ON_TIME,airport-07,airport-02,flight-11,aircraft-11,true
leg-12,VYB0011,2027/01/01 06:00,2027/01/01 08:00,DELAYED,airport-05,airport-02,flight-12,aircraft-12,true
leg-13,VYB0012,2027/01/01 06:00,2027/01/01 08:00,DELAYED,airport-06,airport-02,flight-13,aircraft-01,true
leg-14,VYB0013,2027/01/01 06:00,2027/01/01 08:00,ON_TIME,airport-04,airport-02,flight-14,aircraft-01,true
leg-15,VYB0014,2027/01/01 06:00,2027/01/01 08:00,CANCELLED,airport-01,airport-02,flight-15,aircraft-01,true

# LEGS DE MANAGER 2

# published legs of flight 27
leg-16,AEX0000,2026/01/01 06:00,2026/01/01 08:00,DELAYED,airport-01,airport-02,flight-27,aircraft-01,false
leg-17,AEX0001,2026/01/01 10:00,2026/01/01 11:00,ON_TIME,airport-02,airport-03,flight-27,aircraft-02,false

# some published and unpublished legs of flight 28
leg-18,AEX0004,2027/01/01 06:00,2027/01/01 08:00,DELAYED,airport-10,airport-02,flight-28,aircraft-01,true
leg-19,AEX0005,2027/01/01 10:00,2027/01/01 11:00,CANCELLED,airport-09,airport-03,flight-28,aircraft-02,true
leg-20,AEX0006,2027/01/01 12:00,2027/01/01 13:00,ON_TIME,airport-07,airport-04,flight-28,aircraft-03,false








