key,flightNumber,departure,arrival,status,key:departureAirport,key:arrivalAirport,key:flight,key:aircraft,isDraftMode

# LEGS OF MANAGER 1

# published legs of flight 1
leg-01,VYB0000,2000/01/01 06:00,2000/01/01 08:00,ON_TIME,airport-01,airport-02,flight-01,aircraft-01,false
leg-02,VYB0001,2000/01/01 10:00,2000/01/01 11:00,ON_TIME,airport-02,airport-03,flight-01,aircraft-02,false
leg-03,VYB0002,2000/01/01 12:00,2000/01/01 13:00,CANCELLED,airport-03,airport-04,flight-01,aircraft-03,false
leg-04,VYB0003,2000/01/01 17:00,2000/01/01 20:00,DELAYED,airport-04,airport-05,flight-01,aircraft-04,false

# some published and unpublished legs of flight 2
leg-05,VYB0004,2027/01/01 06:00,2027/01/01 08:00,DELAYED,airport-01,airport-02,flight-02,aircraft-01,true
leg-06,VYB0005,2027/01/01 10:00,2027/01/01 11:00,CANCELLED,airport-02,airport-03,flight-02,aircraft-02,true
leg-07,VYB0006,2027/01/01 12:00,2027/01/01 13:00,ON_TIME,airport-03,airport-04,flight-02,aircraft-03,false

# leg variations for other flights
leg-08,VYB0007,2200/01/01 06:00,2200/01/01 08:00,ON_TIME,airport-10,airport-02,flight-08,aircraft-08,true
leg-09,VYB0008,2013/10/10 06:00,2013/10/10 08:00,DELAYED,airport-09,airport-02,flight-09,aircraft-09,true
leg-10,VYB0009,2100/01/01 22:00,2100/01/01 23:00,CANCELLED,airport-08,airport-02,flight-10,aircraft-10,true
leg-11,VYB0010,2034/01/01 00:00,2034/01/01 01:00,ON_TIME,airport-07,airport-02,flight-11,aircraft-11,true
leg-12,VYB0011,2027/01/01 06:00,2027/01/01 08:00,DELAYED,airport-05,airport-02,flight-12,aircraft-12,true
leg-13,VYB0012,2027/01/01 06:00,2027/01/01 08:00,DELAYED,airport-06,airport-02,flight-13,aircraft-01,true
leg-14,VYB0013,2024/12/30 06:00,2024/12/30 08:00,ON_TIME,airport-04,airport-02,flight-14,aircraft-01,false
leg-15,VYB0014,2027/01/01 06:00,2027/01/01 08:00,CANCELLED,airport-01,airport-02,flight-17,aircraft-01,false

# LEGS DE MANAGER 2

# published legs of flight 27
leg-16,AEX0000,2026/01/01 06:00,2026/01/01 08:00,DELAYED,airport-01,airport-02,flight-27,aircraft-01,false
leg-17,AEX0001,2026/01/01 10:00,2026/01/01 11:00,ON_TIME,airport-02,airport-03,flight-27,aircraft-02,false

# some published and unpublished legs of flight 28
leg-18,AEX0004,2027/01/01 06:00,2027/01/01 08:00,DELAYED,airport-10,airport-02,flight-28,aircraft-01,true
leg-19,AEX0005,2027/01/01 10:00,2027/01/01 11:00,CANCELLED,airport-09,airport-03,flight-28,aircraft-02,true
leg-20,AEX0006,2027/01/01 12:00,2027/01/01 13:00,ON_TIME,airport-07,airport-04,flight-28,aircraft-03,false

# LEGS FOR CUSTOMER 1 DASHBOARD
leg-21,AEX0007,2021/07/15 08:00,2021/07/15 10:00,ON_TIME,airport-02,airport-03,flight-30,aircraft-01,false
leg-22,AEX0008,2021/07/15 09:00,2021/07/15 17:00,DELAYED,airport-03,airport-04,flight-30,aircraft-02,false

leg-23,AEX0009,2024/11/05 06:30,2024/11/05 08:15,ON_TIME,airport-04,airport-05,flight-31,aircraft-03,false
leg-24,AEX0010,2024/11/05 18:55,2024/11/05 19:15,ON_TIME,airport-05,airport-06,flight-31,aircraft-04,false

leg-25,AEX0011,2024/12/22 07:00,2024/12/22 09:30,ON_TIME,airport-06,airport-07,flight-32,aircraft-05,false
leg-26,AEX0012,2024/12/22 14:00,2024/12/22 17:30,ON_TIME,airport-07,airport-08,flight-32,aircraft-06,false

leg-27,AEX0013,2024/10/21 14:00,2024/10/22 17:30,ON_TIME,airport-08,airport-09,flight-33,aircraft-07,false
leg-28,AEX0014,2024/10/21 18:00,2024/10/22 21:30,ON_TIME,airport-09,airport-10,flight-33,aircraft-08,false

leg-29,AEX0015,2024/09/13 22:00,2024/09/23 01:00,ON_TIME,airport-01,airport-02,flight-34,aircraft-09,false
leg-30,AEX0016,2024/09/14 06:00,2024/09/14 08:00,DELAYED,airport-02,airport-03,flight-34,aircraft-10,false

# LEGS FOR CUSTOMER 2 DASHBOARD
leg-31,VYB0015,2022/05/10 08:00,2022/05/10 10:00,ON_TIME,airport-02,airport-03,flight-35,aircraft-01,false
leg-32,VYB0016,2022/05/10 09:00,2022/05/10 17:00,DELAYED,airport-03,airport-04,flight-35,aircraft-02,false

leg-33,VYB0017,2024/09/15 06:30,2024/09/15 08:15,ON_TIME,airport-04,airport-05,flight-36,aircraft-03,false
leg-34,VYB0018,2024/09/15 18:55,2024/09/15 19:15,ON_TIME,airport-05,airport-06,flight-36,aircraft-04,false

leg-35,VYB0019,2024/11/27 07:00,2024/11/27 09:30,ON_TIME,airport-06,airport-07,flight-37,aircraft-05,false
leg-36,VYB0020,2024/11/27 14:00,2024/11/27 17:30,ON_TIME,airport-07,airport-08,flight-37,aircraft-06,false

leg-37,VYB0021,2024/12/15 14:00,2024/12/15 17:30,ON_TIME,airport-08,airport-09,flight-38,aircraft-07,false
leg-38,VYB0022,2024/12/15 18:00,2024/12/15 21:30,ON_TIME,airport-09,airport-10,flight-38,aircraft-08,false

leg-39,VYB0023,2024/12/20 22:00,2024/12/20 23:00,ON_TIME,airport-10,airport-07,flight-39,aircraft-09,false
leg-40,VYB0024,2024/12/21 00:00,2024/12/21 01:00,DELAYED,airport-07,airport-09,flight-39,aircraft-10,false







