key,key:booking,key:passenger
bookingRecord-01,booking-01,passenger-01
bookingRecord-02,booking-01,passenger-02
bookingRecord-03,booking-02,passenger-03
bookingRecord-04,booking-04,passenger-04
bookingRecord-05,booking-04,passenger-05
bookingRecord-06,booking-05,passenger-06
bookingRecord-07,booking-06,passenger-07
bookingRecord-08,booking-06,passenger-08
bookingRecord-09,booking-07,passenger-09
bookingRecord-10,booking-08,passenger-10
bookingRecord-11,booking-09,passenger-11
bookingRecord-12,booking-09,passenger-12
